kata_baku,vocabulary
pebisnis,bisnisman
bisa,bissa
belakang,blakang
belum,blm
blog,blok
papan,board
boleh,bolehin
bosan,boring
bosan,bos
bosan,bosen
bosan,bosenin
tuan,boss
bosan,bossen
bapak,bp
bapak,bpak
bapak,bpk
bapak,bpknya
bapak,bpnya
berani,brani
hebat,bravooo
rehat,breakingnya
rehat,breaknya
bisa,bs
ibu,bu
bagus,buagus
bagus,buaguss
bagus,buagusss
sangat,buang
sangat,buanget
buat,buar
buat,buat
semangat,bufighting
buka,buk
bukan,bukankah
ancam,buli
buru,buru2
butuh,but
butuh,butu
ibu,buu
ibu,buug
ibu,buuu
ibu,buuuu
ibu,buuuug
oleh,by
oleh,byu
contoh,c0oantoh
ganteng,cakep
capai,capat
pulang,capcus
cara,car
cara,cara2
mengajar,caramengajar
cari,care
kasus,case
catatan,catatan2
catatan,catatanya
semangat,cayooo
semangat,cayooooo
cepat,ceat
periksa,cek
selalu,celalou
semangat,cemu
semangat,cemungud
semangat,cemungut
semangat,cemunguts
cepat,cepar
cepat,cepat2
cepat,cepet
cepat,cepet2
gelegar,cetar
ubah,change
semangat,chemangat
pilihan,choice
cipta,ciptain
sungguh,ciuuss
sungguh,ciyus
sungguh,ciyuss
kelas,class
program,coding
program,codingnya
komedi,comedy
komentar,comen
komentar,coment
komentar,comment
komunikasi,communication
kompilasi,compile
kompilasi,compilenya
kompilasi,compli
komentar,comrnt
komunikasi,comunication
contoh,conto
contoh,contoh2
contoh,contoh2nya
contoh,contok
keren,cool
salinan,copian
salinan,copy
salinan,copyan
coret,corat
diperbaiki,corrected
coret,cort
karena,coz
pembuat,creater
cerita,creitanya
catatan,ctt
cukup,cuku
hanya,cuma
hanya,cuman
cukup,cykup
dapat,daat
jadi,dadi
pendakwah,dai
dalam,dalama
mengajar,dalammengajar
dalam,dalm
samping,damping
mudah,danmudah
tetap,dantatap
dapat,dapet
dasar,dasa
terlambat,datangterlambat
datang,dateng
dari,dati
dengan,ddengan
diberikan,ddiberikan
rinci,deatail
rinci,deatil
dengan,degan
gugup,degdegan
ditegakkan,deitegakkan
dikte,dekte
semangat,demangatgambate
dimensi,demensinya
demokrasi,demikrasi
dengan,deng
dengan,denga
dengan baik,denganbaik
dengan contoh,dengancontoh
dengar,denger
dengar,dengernya
dengan,dengna
dengan,dentgan
depan,depa
dosen,desen
rinci,detail
rinci,detiil
rinci,detil
pengembangan,dev
pengembangan,develop
sendiri,dewe
dengan,dg
dengan,dgn
diharapkan,dharapkan
zuhur,dhuhur
salut,diacungin
diadakan,diadain
diadakan,diadakn
diajarkan,diajarakan
diajarkan,diajarin
diam,dian
dibagikan,dibagika
ditingkatkan,dibagusin
dibahas,dibahasdan
diperbanyak,dibanyakin
diberikan,dibei
diberikan,diberika
diberitahu,diberitahukan
diperbesar,dibesarin
dibiarkan,dibiarin
beritahu,dibilangin
dibuatkan,dibuata
dipercepat,dicepetin
diacuhkan,dicuekin
di dalam,didlm
diberi,dieri
dipahami,difahami
diganti,diganto
digunakan,digynakan
hitungan,dihitung2an
diharapkan,dihrapakan
dijelaskan,dijelasin
dijelaskan,dijelasinnya
dijelaskan,dijilaskan
beri kabar,dikabarin
dikeluarkan,dikeluarin
dikembalikan,dikembaliakan
diperkeras,dikencangin
diperkeras,dikencanging
diperkeras,dikencin
diperkeras,dikerasin
dikerjakan,dikerjan
dikeluarkan,dikerluarkan
ditertawakan,diketawain
dikirim,dikirin
sedikit,dikit
sedikit,dikit2
beri komentar,dikomentarin
dikuatkan,dikuatin
dikumpulkan,dikumpulin
dilakukan,dilakukuman
dimaksimalkan,dimaksimalakan
marah,dimarahin
di masyarakat,dimasyarakatin
mata kuliah,dimatakuliah
dimengerti,dimegerti
dimengerti,dimengeer
minimalisasi,diminimalizir
dimengerti,dimnegerti
dimengerti,dingertiin
diperiksa,dioeriksa
dipahami,dipahamiwalaupun
dipraktekkan,diparktekan
dipraktekkan,diparktekkan
diancam,dipelototin
diperbanyak,diperbanyaksemoga
diperhatikan,diperhatiin
diperjelas,diperjelasin
diperjelas,diperjelasmengajar
diperjelas,dipoerjelas
power point,dippt
dicetak,diprin
diringkas,dirinkas
di rumah,dirukah
disampaikan,disampaiakan
disampaikan,disampikan
disatukan,disatuin
di sela,disela2
di sela,diselingin
dibagikan,dishare
diselaraskan,disingkronkan
disiplin,disiplim
disisipkan,disisipin
diskusi,diskus
tayangan,dislide
disiplin,displin
ditambahkan,ditambahin
dipertegas,ditegasin
ditentukan,ditentunkan
ditertibkan,ditetibkan
ditingkatkan,ditingkatakan
diujikan,diujianin
diujikan,diujiankan
hebat,djob
dalam,dlaam
dalam,dlam
lain-lain,dll
dalam,dlm
dan,dn
dengan,dng
dengan,dngan
di,do
diajarkan,doajarkan
hanya,doang
main-main,dolan
selesai,done
dongeng,dongen
dongeng,dongengin
unduh,donwload
dosen,doosen
dosen,dose
dosen,doseb
dosen,dosen
dosen,dosene
dosen,dosenini
dosen,dosenya
dua,double
turun,down
dipertahankan,dpertahankan
dapat,dpp
dapat,dpt
dari,dr
daripada,drpd
datang,dtang
di,du
dibahas,dubahas
di kelas,dukelas
dulu tidak,dulutidak
dua,duwa
kebanyakan,ebanyakan
lebih,ebih
efisien,efesian
efisien,efesien
efisien,efisian
efisien,efisiensi
begitu,egitu
ekspresi,ekspirasi
ekstrim,ekstream
belajar,elajar
mengelak,elak
e-learning,elearning
e-learning,elearningnya
e-learning,elerning
e-learning,elerningnya
belum,elum
mengajar,emngajar
enak,enaaa
enak,enak
enak,enakin
cukup,enaugh
menerangkan,enerangkan
penuh semangat,enerjik
tidak,enggak
mesin,engine
rekayasawan,engineer
bahasa Inggris,english
menjelaskan,enjelaskan
menikmati,enjoy
cukup,enough
e-learning,erlening
kesalahan,eror
etika,etiika
segala,everithing
segala,everything
bekas,ex
luar biasa,excallent
luar biasa,excelent
luar biasa,excellent
luar biasa,exelent
luar biasa,exellent
ekspresi,expresikan
pengalaman,expriance
wajah,face
fakultas,faculty
favorit,faforit
paham,faham
adil,fair
fakta,fakta2
biasa,familiar
keluarga,family
dipermudah,mudahin
paham,mudeng
benar,TRUE
terus,trus
terus,truz
tersebut,tsb
tetap,ttetap
tentang,ttg
tingkatkan,ttingkatkan
tentang,ttng
tetapi,ttp
tugas kelompok,tugaselompok
tuhan,tuhannn
tujuan di,tujuandi
ambil,aambil
habis,abis
aksesoris,accesoris
akses,access
aksesoris,accessoris
akun,account
akuntansi,accountig
akuntansi,accounting
aktif,active
aktivitas,activitas
ada,ad
alamat,address
adalah,adlh
pengelola,adm
pengelola,admin
jauh,adohhhhh
ahli,advance
ahli,advanced
lagi,again
agen,agent
agustus,agust
akhir,ahirnya
saja,aj
saja,aja
saja,ajah
akademi kebidanan,akbid
akhirat,akherat
akhir,akhirny
aktivasi,aktivasinya
aktivitas,aktvtas
alami,alamiah
alhamdulillah,alhamd
alhamdulillah,alhamdulilah
alhamdulillah,alhamdulilla
alhamdulillah,alhamdulillaah
alhamdulillah,alhamdulillah
alhamdulillah,alhamdulliah
alhamdulillah,alhamdullilah
alhamdulillah,alhamndulillah
alhamdulillah,alhmdlh
alhamdulillah,alhmdulillah
semua,all
tuhan,allah
tuhan,alloh
alokasi,alo
alternatif,alternatip
aman,amanny
mengagumkan,amazing
ambil,ambl
amin,amien
amin,amiieen
amin,amiiin
amin,amiiinn
amin,amiin
amin,aminnnn
sampai,ampe
analisa,analisanya
analisis,analysis
dan,and
handal,andal
saya,ane
anggaran,angaran
anggaran,anggar
anggaran,anggarannyah
anggota,anggora
angkot,angkotnya
angsuran,angsurang
hangus,angus
apapun kondisinya,apapunkondisinya
apartemen,apartement
apa lagi,aplgi
aku,aq
iklan,aqsense
air minum,aqua
arena,are
artikel,artekal
artikel,article
asal,aslkan
asallamualaikum,ass
asallamualaikum,assalaamu
asallamualaikum,assalamu
aset,asset
asuransi,asurasi
asyik,asyiiik
atau,atawa
anjungan tunai mandiri,atm
atau,ato
atas,ats
serang,attack
atau,atw
atau,atwpun
otomatis,auto
otomatis,automatic
otomatis,automation
ayo,ayok
ayo,ayuk
saja,az
saja,aza
baca,baba
belakang,back
latar belakang,background
cadangkan,backup
baik,baek
baik,baekin
bagaimana,bagaimnah
bagaimana,bagmana
baik,bail
baik,bair
seimbang,balance
seimbang,balans
banding,bandingin
banget,bangat
banget,bangets
banget,bangetz
bank,banking
bantu,bantuin
banyak,banyakk
banyak,banyaknnya
baik,baoknya
baru,bari
baru saja,barusaja
baru saja,barusan
jakarta,batavia
batin,bathin
bayang,bayangin
bahan bakar minyak,bbm
bahan bakar minyak,bbmnya
biaya,beaya
berbanding,bebanding
beda,bedain
berfikir,befikir
begitu,begitchu
begitu,begitulahh
bodoh,bego
begitu,begono
berkembang,bekembang
beli,beliin
beli,belikan
benefit,benefitnya
benar,bener
betul,benul
berantas,beranta
berdasarkan,berdsrkan
berekstensi,berektension
pikir,berfikir
pikir,berfikiran
pikir,berfikirlah
pikir,berfikirnya
berhadiah,berhadian
berkali lipat,berkalilipat
berkembang biak,berkembangbiak
berlipat-lipat,berlipatlipat
bermanfaat,berm
bermanfaat,bermnanfaat
beroperasi,beroprasi
siap,bersiap
silaturahmi,bersilaturahim
bertanggung jawab,bertanggungjawab
bertambah,bertmbh
berulang kali,berulangkali
besar,besarin
arsip yang lebih baik,betterarchive
betul,betulll
bagaimana,bgi
bagaimana,bgimana
seperti ini,bgini
seperti ini,bginian
bagaimana,bgm
bagaimana,bgmn
bagus,bgs
banget,bgt
seperti itu,bgtu
bagus,bgus
biar,biarpun
bimbingan,bimbngan
bingung,binggun
bingung,binggung
bisa,bis
bisa,bisaaa
bisik,bisikn
bus kota,biskota
pebisnis,bisnisman
biaya,biyaya
bukan,bka
bukan,bkan
bukan,bkn
bila,bl
bila,bla
daftar hitam,blacklist
belajar,blajar
belanja,blanja
belajar,bljr
belakang,blkg
belum,blm
bulan,bln
bilang,blng
bulan,blnya
blok,blo
blok,bloc
blok,blocked
belum,blom
balas,blsan
belum,blum
benar,bner
banget,bnget
banget,bngt
benar,bnr
banyak,bnyak
banyak,bnyk
kapal,boat
bodoh,bodo
tubuh,body
ayah,bokap
pesan,boking
boleh,bole
pesan,booking
terkenal,booming
boros,borossssssssssss
bosan,bosen
bos,boss
bos,bossnya
kotak,box
bapak,bpk
bukti pajak kendaraan bermotor,bpkb
merk,brand
berapa,brapa
berapa,brapo
berarti,brarti
bisnis,brbisnis
pikir,brfikirnya
barang,brg
berharap,brharap
investasi,brinvestasi
barang,brng
berapa,brp
berarti,brrti
bersih,brsh
baru,bru
bisa,bs
bisa,bsa
besar,bsr
butuh,btuh
ngomong-omong,btw
dana,budget
dana,budgetting
dana,buget
bukan,bukankah
bulan,bulanya
bulan,bulnan
bumi putera,bumiputera
badan usaha milik negara,bumn
bunga,bungaya
bisnis,business
tetapi,but
banyak,buuuaannyyyaakkkkkkkkkkkk
buat,bwt
oleh,by
selamat tinggal,bye
banyak,byk
bayar,byr
cakep,cakepp
panggil,call
kampanye,campaigne
contoh,cantoh
capai,capa
capek,cape
abadikan,capture
mobil,car
peduli,care
kargo,cargo
cari,carry
kas,cas
aliran kas,casflow
tunai,cash
kembalian,cashback
aliran tunai,cashflow
aliran tunai,cashflowny
tunai,cashnya
peran,cast
pemeran,casteris
kucing,cat
coba,cb
Cuma,ceman
semilir,cemilir
tengah,center
cepat,cepet
sepi,cepi
sepi,ceppe
cerita,ceritain
tunai,cesh
cabai,chaaabbbbeeeeeee
salam,cheers
cina,china
cina,chines
cina,chinese
cicil,cicilanmah
cukup,ckp
cukup,ckup
bersih,clean
klien,client
tutup,close
klub,club
kluster,cluster
sentimeter,cm
benarkan jika saya salah,cmiiw
cuman,cmn
pelatih,coach
coba,cobain
datang,come
komen,coment
komen,comentarnya
komen,comment
komen,commentnya
komplikasi,complicated
kompromi,compromised
komputer,computer
konek,conec
lanjut,continyu
contoh,contohnyah
keren,cool
salin,copian
salin,copy
benar,correct
biaya,cost
hitung,counter
kredit,credit
kredit,creditannya
catat,ctt
coba,cuba
cucu,cucuk
cukup,cukupin
nilai tukar,currency
pelanggan,customer
dalam,dalem
dilakukan,dalkukan
dalam,dalm
efek yang diterima,damage
dan mendapat,danmendapat
dapat,dapaet
dapat,dapet
dapat,dapetin
daripada,daripda
dari sana,darisana
penyimpanan data,database
dibikin,dbkin
mati,dead
sepakat,deal
tempat yang menjual kendaraan,dealer
tempat yang menjual kendaraan,dealernya
teruntuk,dear
aslinya,default
dengan,degan
dengan,dengn
depan,depa
departemen,departeman
departemen,departemenya
departemen keuangan,depkeu
desainer,designer
pengembangan,develop
pengembang,developer
pengembangan,development
sendiri,dewe
pikir,dfikir
dengan,dg
dengan,dgan
dengan,dgn
guna,dgunakan
akhir,diakir
banding,dibandikan
banding,dibandingakan
banding,dibandingin
banding,dibandinginnya
bayar,dibayarin
belakang,dibelakangny
beli,dibeliin
bisnis,dibisnisin
bilang,diblang
beli,dibli
salin,dicopy
bawa,dicover
cukup,dicukup
dalam,didalamny
unduh,didownload
bawah,diibawah
impor,diimport
pasang,diinstal
pasang,diinstall
investasi,diinvestasiin
hitung,diitung
jadi,dijadiin
jalan,dijln
keluar,dikeluarin
kembang biak,dikembangbiakkan
kredit,dikeridit
tertawa,diketawain
kirim,dikirimin
sedikit,dikit
lebar,dilebarin
lindung,dilindungin
manfaat,dimanfaatin
masuk,dimasukin
naik,dinaekan
omong,diomongin
pakai,dipake
paksa,dipaksain
pikir,dipikirin
pikir kredit,dipikirkredit
pisah,dipisahin
ridho,diridhoi
diri kita,dirikita
sanding,disandingin
peringatan,disclaimer
diskon,discount
sekolah,disekolahin
cakram,disk
distribusi,distribute
tabung,ditabungin
terus,diterusin
tanya,ditya
uji coba,diujicoba
baru,diupdate
baru,diupgrade
dan kawan kawan,dkk
dulu,dl
lihat,dliat
dan lain lain,dlllllllll
dalam,dlm
dulu,dlu
dan,dn
dengan,dng
dengan,dngn
doa,doain
saja,doang
saja,doank
dokter,dok
dulu,dolo
dompet,dompetmah
selesai,done
dong,dongg
dong,donk
unduh,donwload
titik,dot
unduh,download
dipaksa,dpaksa
dapat,dpat
dapat,dpt
dari,dr
draf,draft
mimpi,dream
dari,dri
pengemudi,driver
daripada,drpd
dan seterusnya,dst
tengah,dtengah
tunggu,dtunggu
duh,duhhh
duit,duid
duit,duitx
dunia,duniaaaaaaaa
ekonomi,economic
gila,edam
gila,edan
edisi,edition
efektif,efektive
efisien,efesien
efektif,effective
efisien,effisien
efisien,efisiensi
ekonomi,ekonm
ilmu,elmu
ilmu,elmunyah
kamu,elo
memang,emang
memang,emg
guna,emnggunakan
empu,empunya
endapan,endapin
tidak,enggak
nikmat,enjoy
nanti,entar
anda,ente
terima,erima
eror,error
eror,errornya
mengerti,erti
dan lain sebagainya,etc
kecuali,exception
senang,excited
keluar,exit
mahal,expenses
cepat,express
contoh,exsample
ekstra,extra
ekstrimis,extremis
wajah,face
gagal,failed
imbang,fair
keluarga,famili
keluarga,family
harga,fee
petarung,fighter
pikir,fikir
pikir,fikiran
pikir,fikiranya
file,filenya
file,files
filosofi,filosopi
finansial,finanasial
finansial,finance
finansial,financenya
finansial,financial
finansial,financing
finansial,finansial
baik,fine
fitur,fiturnya
terselesaikan,fix
diselesaikan,fixed
datar,flat
fleksibel,fleksible
fleksibilitas,flexibilitas
alir,flow
pondasi,fondasi
untuk,for
temu,found
gratis,free
perangkat lunak gratis,freeware
segar,fresh
dari,from
penuh,full
fundamental,fundamentals
perkakas,furniture
masa depan,future
informasi untukmu,fyi
tidak,g
tidak,ga
tidak bisa,gabisa
tidak,gak
tidak ada,gakda
tidak apa-apa,gakpapa
galaksi,galaxi
tidak apa-apa,gapapa
gapai,gape
gengsi,gensi
gimana,gimaana
gimana,gimanapun
waut wajah,gimmick
golongan,glngan
gimana,gmana
gimana,gmn
gimana,gmna
bodoh,goblok
emas,gold
bagus,good
bagus,gooooood
bagus,gooooooooooood
bagus,goooooooooooooood
tidak apa-apa,gpp
besar,great
grup,group
tumbuh,growth
halo,hallo
tangan,hand
ponsel,handphonenya
hanya,hany
harapan,harapa
sulit,hard
harganya,hargannya
harganya,harganyaa
bahaya,harmful
hitung,hitug
hitung,hitunganya
hitung,hitungx
hilang,hlng
hanya,hny
rumah,home
panas,hot
ponsel,hp
hari,hr
harga,hrg
harga,hrga
harus,hrs
harus,hrus
hubung,hub
budaya,hudaya
hutang,hutangrp
ialah,iallah
atas,iatas
hidup,idup
jika,if
ikhlas,iklas
ikhlas,iklash
hilang,ilang
gambar,image
gambar,imaging
pendapatan,income
indonesia,indnsia
industri,industry
informasi,information
ingat,inget
ingin,ingn
ini,inih
investasi,inpestasikan
informasi,inpormasikan
masuk,input
sisip,insert
inspeksi,inspection
instan,instant
menarik,interest
menarik,interested
internet,internetnya
inti,intinyah
inti,intinye
investasi,invest
investasi,investasi
investasi,investasiin
informasi,invony
item,itemx
itu,ituloh
hitung,itung
hitung,itungan
hitung,itungannya
iya,iyah
jawa barat,jabar
jaga,jagain
jalan,jalanin
jalan,jalaninyah
jalin,jalinin
jalan,jaln
zaman,jaman
jalur pribadi,japri
jatuh,jatoh
jatuh,jatohnya
jauh,jauuuh
jawab,jawaba
jadi,jd
jadi,jdi
jadi,jdlah
juga,jg
juga,jga
jangan,jgn
jika,jikalau
jika,jk
jalan,jl
jalan,jlan
jalan,jln
jalan,jlnan
jumlah,jml
jumlah,jmlah
jumlah,jmlhny
jangan,jngan
gabung,join
gabung,joint
juta,jt
juta,jta
juta,jtaan
juta,jtan
juta,jtnya
menghakimi,judge
judul,judulny
juga harus,jugaharus
juga,jugay
juta,jujutaan
sampah,junk
hanya,just
kadaluarsa,kadaluarsanya
tidak,kaga
tidak,kagak
kakak,kak
kalau,kalao
kalau,kalaupun
kalimantan barat,kalbar
kali,kale
kali,kalee
kala,kalla
kali,kallleee
kalau,kalo
kalau,kalou
kalimantan selatan,kalsel
kalau,kalu
kamu,kamuh
karena,karna
kartu kredit,kartukredit
kartu kredit,kartukreditnya
kasih,kasi
kasihan,kasiaaan
engkau,kau
kawan,kawansyam
seperti,kayak
banyak,kbanyakan
banyak,kbnyakan
kebiasaan,kbsaan
kecil,kcl
kecil,kclan
kecuali,kcuali
kadang,kdang
kadang,kdg
keadaan,keaadaan
bahagia,kebahagian
bakar,kebakara
kebiasaan,kebiaasaan
banyak,kebnyakan
kebun,kebon
jaga,keep
pikir,kefikiran
indonesia,keindonesiaanya
lebih,kelebian
keluar,keluarin
keluar,keluarinlah
keluar,keluarkann
kemampuan,kemanpuan
kemampuan,kemapuan
kemarin,kemaren
kendaraan,kendara
kendaraan,kendaran
kendaraan,kenderaan
pakai,kepake
pemilik,kepemlilikan
perlu,keperluaanya
ingin,kepingin
kredit,keredit
kerja,kerjaaan
sadar,kesadaranya
salah paham,kesalahpahaman
sampai,kesampain
siap,kesiap
kesimpulan,kesimpulanx
keseluruhan,kesuluruhan
tentram,ketentraman
tidak mampu,ketidakmampuan
tidak profesional,ketidakprofesionalan
tidak tahu,ketidaktahuan
keturunan,keturnan
keuangan,keungan
untung,keuntunganya
kilogram,kg
kehidupan,khdpan
kita,kite
kita,kitta
kita,kiya
komennya,kkomennya
kalau,kl
kalau,klau
kalau,klo
kalau,klu
keluar,kluar
keluarga,kluarga
kalau,klw
kilometer,km
kemarin,kmarin
kamu,kmu
kenapa,knapa
tahu,know
pegetahuan,knowledge
kenapa,knp
kantor,kntor
dompet,kocek
mati,koid
komen,koment
komen,komentar
kompensasi,konpensasi
konsekuensinya,konsekwensinya
konsisten,konsistensi
konsumen,konsumenx
konteks,kontek
kos,kost
kos,kostan
kapan,kpan
panas,kpanasan
kepada,kpd
perlu,kperluan
kilometer per jam,kpm
kapan,kpn
kredit,kradit
kredit,krdit
kredit,krdt
kredit,kredi
kredit,kredid
karena,krena
kredit,kresit
kredit,kridiit
kredit,kridit
krisis moneter,krismon
kerja,krj
kirim,krm
karena,krn
karena,krna
kesalahan,ksalahan
kasih,ksh
kartu tanda penduduk,ktp
harus,kudu
seperti,ky
seperti,kyk
seperti,kyknya
lain,laen
lain,laennya
lagi,laghi
lain,lai
lain,lainx
lama,lam
langsung,langsuang
lebih,lbh
lebih,lbih
tanah,lemah
lagi,lg
lagi,lgi
lagipula,lgpl
langsung,lgsg
suka,like
link,linknya
daftar,list
lunas dapat,lunasdapat
lewat,lwt
maaf,maap
mesin,machine
bermain,maen
perbaikan,maintenace
perbaikan,maintenance
perbaikan,maintenancenya
perbaikan,maintenen
perbaikan,maitenance
terima kasih,makasih
pakai,make
semakin,makin
makhluk,makluk
paksa,maksain
maksud,maksutnya
malahan,malahn
mampu,mampuh
manajemen,manage
manajemen,managemen
manajemen,management
manajer,manager
manajemen,manangement
mengajukan,mangajukan
mengapa,mangapa
mantap,mantaaappp
mantap,mantab
mantap,mantabz
mantap,mantaf
mantap,mantaff
mantap,mantapppp
mantap,mantaps
mantap,manteb
mantap,mantep
penjualan,marketing
mantap,markotop
masa depan,masadepan
masak,masakan
masyarakat,masayrakat
masalah,maslahny
masuk,masukin
masyarakat,masyaratak
masyarakat,masyrakt
pertandingan,match
matang,mateng
matematika,matika
terima kasih,matur
terima kasih,maturnuwun
terima kasih,maturnuwwuunn
mau tunggu,maununggu
mau,maw
baca,mbacanya
simbah,mbah
sambil,mbil
bisa,mbisa
mudahan,mdhn
saya,me
menarik,mearik
menghemat,meghemat
menguntungkan,meguntungkan
melancarkan,melancrkan
melindungi,melundunggi
mengatur,memanage
mengatur,memanaj
membandingkan,membandinkan
membiayai,membiayahi
membeli,membli
memesan,membooking
menduga,memduga
memilih,memeilih
mengatur,memenej
mengatur,memenejemen
memiliki penghasilan,memilikipenghasilan
memiliki,memilki
mengatur,meminij
memiliki,memliki
tanggung jawab,mempertanggungjawabkan
memusatkan,memumustkan
mengatur,menagatur
membeli,menbeli
menabung,menbung
mencari,mencar
mencegah,mencega
mencerahkan,mencerahakan
mabuk,mendem
mengunduh,mendownload
analisa,menganalisa
mengorbankan,mengrbnakan
mengingat,menigingat
menikah,menikahh
meninggal,meningga
menteri keuangan,menkeu
mencoba,mentjoba
menunjang,menujang
menunjukkan,menunujukan
menurut,menuut
mencicil,menyicil
peras,meres
meringankan,meringakan
mungkin,mgkn
mohon,mhn
mohon,mhon
cip mikro,microchip
cara pikir,mindset
minggu,mingu
masalah,msh
masalah,mslh
masalah,mslhx
masyarakat,msyarakat
motor,mtr
mantap,muantep
pusing,mumet
harus,must
mesti,musti
mau,mw
milikku,my
tabrak,nabrak
tabung,nabung
tabung,nabungnya
naik,naek
naik,naikin
taksi,naksi
tambah,nambah
tambah,nambahi
tambah,nambahin
tambal,nambal
nama,namnya
tampak,nampak
tanggung,nanggung
tanya,nanya
kenapa,napa
nafsu,napsu
nasihat,nasehat
nasi goreng,nasigoreng
tawar,nawar
tidak,ndak
sendiri,ndiri
tidak,ndk
perlu,need
ngara,negarax
negatif,negatip
negatif,negatipnya
nego,negonya
negeri,negri
telfon,nelpon
tengok,nengok
terima,nerima
jaringan,networking
tidak pernah,never
baru,new
selanjutnya,next
habis,ngabisin
tidak,ngak
alami,ngalami
ambil,ngambil
ambil,ngambilnya
angkut,ngangkut
anjuran,nganjurkan
angsur,ngansur
antar,nganter
kantor,ngantor
beri,ngasih
mengatasi,ngatasi
atur,ngatur
baca,ngebaca
bonceng,ngebonceng
buka,ngebuka
asap,ngebul
asap,ngebulin
cat,ngecat
cek,ngecek
ecer,ngecer
dahulu,ngeduluin
jalan,ngejalanin
kejar,ngejar
klaim,ngeklaim
lihat,ngeliat
lobi,ngelobi
kelola,ngelola
keluar,ngeluarin
keluar,ngeluarinnya
manajemen,ngemanage
tahan,ngempet
ralat,ngeralat
rasa,ngerasain
rem,ngerem
repot,ngerepotin
kredit,ngeridit
kerja,ngerjain
